Gene	AveExpr	logFC	P.Value	adj.P.Val	Sig	GeneType
ENSG00000273573	AL590998.1	0.44	0.39	0.000137	0.000522	FALSE	misc_RNA
ENSG00000237441	RGL2	7.47	0.61	0.000137	0.000524	TRUE	protein_coding
ENSG00000260719	AC009133.3	2	-0.57	0.000137	0.000524	FALSE	lncRNA
ENSG00000260924	LINC01311	0.71	-0.32	0.000138	0.000525	FALSE	lncRNA
ENSG00000125652	ALKBH7	3.79	-0.48	0.000138	0.000525	FALSE	protein_coding
ENSG00000211776	TRAV2	0.47	-0.31	0.000138	0.000526	FALSE	TR_V_gene
ENSG00000181220	ZNF746	7.11	0.65	0.000138	0.000527	TRUE	protein_coding
ENSG00000145911	N4BP3	2.13	-0.74	0.000139	0.000528	TRUE	protein_coding
ENSG00000180953	ST20	4.03	0.8	0.000139	0.000529	TRUE	protein_coding
ENSG00000236008	LINC01814	2.74	0.78	0.000139	0.000529	TRUE	lncRNA
ENSG00000170074	FAM153A	1.98	-0.92	0.000139	0.00053	TRUE	protein_coding
ENSG00000198556	ZNF789	2.63	-0.4	0.000139	0.00053	FALSE	protein_coding
ENSG00000102362	SYTL4	3.21	1.05	0.000139	0.000531	TRUE	protein_coding
ENSG00000174123	TLR10	4.38	0.81	0.00014	0.000532	TRUE	protein_coding
ENSG00000168569	TMEM223	2.24	-0.54	0.00014	0.000533	FALSE	protein_coding
ENSG00000234329	AL604028.2	2.47	0.57	0.00014	0.000533	FALSE	processed_pseudogene
ENSG00000106344	RBM28	4.83	-0.4	0.00014	0.000533	FALSE	protein_coding
ENSG00000111859	NEDD9	7.64	0.64	0.00014	0.000533	TRUE	protein_coding
ENSG00000185896	LAMP1	7.8	0.41	0.00014	0.000534	FALSE	protein_coding
ENSG00000085978	ATG16L1	5.23	-0.23	0.00014	0.000534	FALSE	protein_coding
ENSG00000159082	SYNJ1	6	0.43	0.000141	0.000535	FALSE	protein_coding
ENSG00000182224	CYB5D1	1.34	0.48	0.000141	0.000536	FALSE	protein_coding
ENSG00000250130	AC090519.1	1.68	0.61	0.000141	0.000537	TRUE	processed_pseudogene
ENSG00000103319	EEF2K	4.1	-0.68	0.000141	0.000537	TRUE	protein_coding
ENSG00000084463	WBP11	5.15	-0.59	0.000141	0.000537	TRUE	protein_coding
ENSG00000136816	TOR1B	5.74	1.01	0.000142	0.000538	TRUE	protein_coding
ENSG00000223496	EXOSC6	4.11	-0.71	0.000142	0.000538	TRUE	protein_coding
ENSG00000279082	LINC01727	0.52	-0.38	0.000142	0.000539	FALSE	lncRNA
ENSG00000109472	CPE	0.39	0.42	0.000142	0.000539	FALSE	protein_coding
ENSG00000122378	PRXL2A	1.57	-0.61	0.000142	0.00054	TRUE	protein_coding
ENSG00000248323	LUCAT1	7.88	1.13	0.000142	0.00054	TRUE	lncRNA
ENSG00000115163	CENPA	0.99	0.68	0.000142	0.00054	TRUE	protein_coding
ENSG00000173681	BCLAF3	4.64	0.5	0.000142	0.000541	FALSE	protein_coding
ENSG00000144354	CDCA7	1.83	0.77	0.000143	0.000542	TRUE	protein_coding
ENSG00000085721	RRN3	4.13	-0.7	0.000143	0.000542	TRUE	protein_coding
ENSG00000151806	GUF1	3.79	-0.43	0.000143	0.000544	FALSE	protein_coding
ENSG00000114648	KLHL18	5.76	0.31	0.000144	0.000545	FALSE	protein_coding
ENSG00000111961	SASH1	2.61	-1.25	0.000144	0.000545	TRUE	protein_coding
ENSG00000070761	CFAP20	2.97	-0.45	0.000144	0.000545	FALSE	protein_coding
ENSG00000197566	ZNF624	2.57	-0.51	0.000144	0.000546	FALSE	protein_coding
ENSG00000287079	AL109806.2	0.29	0.24	0.000144	0.000546	FALSE	lncRNA
ENSG00000130164	LDLR	5.35	0.97	0.000144	0.000546	TRUE	protein_coding
ENSG00000185339	TCN2	3.98	1.19	0.000145	0.000548	TRUE	protein_coding
ENSG00000100926	TM9SF1	2.67	0.43	0.000145	0.000549	FALSE	protein_coding
ENSG00000103415	HMOX2	4.96	-0.48	0.000145	0.000549	FALSE	protein_coding
ENSG00000167633	KIR3DL1	1.33	-0.94	0.000145	0.00055	TRUE	protein_coding
ENSG00000163823	CCR1	7.4	1.11	0.000145	0.000551	TRUE	protein_coding
ENSG00000269958	AL049840.6	3.83	0.48	0.000146	0.000551	FALSE	lncRNA
ENSG00000137764	MAP2K5	3.68	-0.34	0.000146	0.000551	FALSE	protein_coding
ENSG00000117859	OSBPL9	5.99	0.5	0.000146	0.000551	FALSE	protein_coding
ENSG00000163041	H3-3A	8.54	0.56	0.000146	0.000551	FALSE	protein_coding
ENSG00000176054	RPL23P2	0.14	-0.13	0.000146	0.000553	FALSE	processed_pseudogene
ENSG00000258120	KRT128P	0.49	-0.51	0.000146	0.000554	FALSE	unprocessed_pseudogene
ENSG00000282508	LINC01002	2.83	1.01	0.000147	0.000554	TRUE	lncRNA
ENSG00000168952	STXBP6	0.09	-0.14	0.000147	0.000555	FALSE	protein_coding
ENSG00000021300	PLEKHB1	2.8	-0.96	0.000147	0.000555	TRUE	protein_coding
ENSG00000109452	INPP4B	5.02	-1.07	0.000147	0.000555	TRUE	protein_coding
ENSG00000255529	POLR2M	3.15	-0.69	0.000147	0.000555	TRUE	protein_coding
ENSG00000270019	AC110769.2	1.71	0.42	0.000147	0.000556	FALSE	lncRNA
ENSG00000232216	IGHV3-43	1.1	1.39	0.000148	0.000558	TRUE	IG_V_gene
ENSG00000279406	AL359183.1	0.75	-0.35	0.000148	0.000559	FALSE	TEC
ENSG00000133195	SLC39A11	4.66	0.51	0.000148	0.000559	FALSE	protein_coding
ENSG00000164296	TIGD6	1.46	-0.44	0.000148	0.000559	FALSE	protein_coding
ENSG00000276957	AL158063.1	0.14	-0.12	0.000148	0.000559	FALSE	lncRNA
ENSG00000072818	ACAP1	8.17	0.57	0.000148	0.000559	FALSE	protein_coding
ENSG00000269921	AC068620.1	0.18	-0.16	0.000148	0.000559	FALSE	lncRNA
ENSG00000087995	METTL2A	2.76	-0.59	0.000149	0.000561	TRUE	protein_coding
ENSG00000073711	PPP2R3A	0.49	-0.29	0.000149	0.000562	FALSE	protein_coding
ENSG00000164597	COG5	5.02	-0.41	0.00015	0.000565	FALSE	protein_coding
ENSG00000285984	AC009301.1	1	0.82	0.00015	0.000565	TRUE	lncRNA
ENSG00000182195	LDOC1	1.33	-0.54	0.000151	0.000569	FALSE	protein_coding
ENSG00000165055	METTL2B	3.5	-0.54	0.000151	0.000569	FALSE	protein_coding
ENSG00000125743	SNRPD2	4.88	-0.71	0.000151	0.00057	TRUE	protein_coding
ENSG00000263006	ROCK1P1	0.4	-0.32	0.000151	0.000571	FALSE	transcribed_unprocessed_pseudogene
ENSG00000134709	HOOK1	2.2	-0.75	0.000152	0.000571	TRUE	protein_coding
ENSG00000076351	SLC46A1	2.37	-0.68	0.000152	0.000572	TRUE	protein_coding
ENSG00000256937	KRT17P8	2.08	-1.13	0.000152	0.000573	TRUE	processed_pseudogene
ENSG00000188603	CLN3	4.43	0.54	0.000152	0.000573	FALSE	protein_coding
ENSG00000131016	AKAP12	1.69	-1	0.000152	0.000573	TRUE	protein_coding
ENSG00000166949	SMAD3	5.58	-0.58	0.000152	0.000574	FALSE	protein_coding
ENSG00000240445	FOXO3B	3.63	-0.79	0.000152	0.000574	TRUE	protein_coding
ENSG00000138639	ARHGAP24	4.79	0.7	0.000153	0.000575	TRUE	protein_coding
ENSG00000198783	ZNF830	4.09	-0.32	0.000153	0.000576	FALSE	protein_coding
ENSG00000270640	AC104695.4	1.96	0.62	0.000153	0.000576	TRUE	lncRNA
ENSG00000068001	HYAL2	3.25	0.56	0.000153	0.000577	FALSE	protein_coding
ENSG00000119979	DENND10	5.93	0.48	0.000153	0.000577	FALSE	protein_coding
ENSG00000160124	CCDC58	1.12	-0.4	0.000154	0.000578	FALSE	protein_coding
ENSG00000197790	OR52M1	0.12	0.2	0.000154	0.000578	FALSE	protein_coding
ENSG00000198286	CARD11	5.83	-0.93	0.000154	0.000579	TRUE	protein_coding
ENSG00000204291	COL15A1	0.2	-0.2	0.000154	0.00058	FALSE	protein_coding
ENSG00000165868	HSPA12A	0.71	-0.53	0.000154	0.000581	FALSE	protein_coding
ENSG00000160781	PAQR6	3.34	1.15	0.000155	0.000581	TRUE	protein_coding
ENSG00000138669	PRKG2	0.73	-0.43	0.000155	0.000582	FALSE	protein_coding
ENSG00000100505	TRIM9	2.19	1.06	0.000155	0.000582	TRUE	protein_coding
ENSG00000138433	CIR1	5.87	0.59	0.000155	0.000582	TRUE	protein_coding
ENSG00000125633	CCDC93	6.28	0.38	0.000155	0.000582	FALSE	protein_coding
ENSG00000175854	SWI5	2.51	0.37	0.000155	0.000583	FALSE	protein_coding
ENSG00000182117	NOP10	5.12	0.65	0.000155	0.000583	TRUE	protein_coding
ENSG00000128917	DLL4	0.36	0.34	0.000156	0.000585	FALSE	protein_coding
ENSG00000161217	PCYT1A	7.02	0.59	0.000156	0.000585	TRUE	protein_coding
ENSG00000153790	C7orf31	2.08	-0.45	0.000156	0.000586	FALSE	protein_coding
ENSG00000164530	PI16	1.92	-0.88	0.000156	0.000586	TRUE	protein_coding
ENSG00000167992	VWCE	3.19	-1.63	0.000156	0.000587	TRUE	protein_coding
ENSG00000147439	BIN3	5.68	0.51	0.000157	0.000588	FALSE	protein_coding
ENSG00000231105	ECE1-AS1	1.83	0.53	0.000157	0.000589	FALSE	lncRNA
ENSG00000120837	NFYB	3.23	-0.52	0.000157	0.000589	FALSE	protein_coding
ENSG00000151893	CACUL1	7.1	0.43	0.000158	0.000593	FALSE	protein_coding
ENSG00000181798	LINC00471	0.17	-0.17	0.000158	0.000593	FALSE	lncRNA
ENSG00000162687	KCNT2	0.48	0.53	0.000158	0.000593	FALSE	protein_coding
ENSG00000107672	NSMCE4A	3.57	-0.47	0.000159	0.000594	FALSE	protein_coding
ENSG00000272463	AL357054.4	0.62	-0.42	0.000159	0.000594	FALSE	lncRNA
ENSG00000197124	ZNF682	1.24	-0.5	0.000159	0.000594	FALSE	protein_coding
ENSG00000134852	CLOCK	3.9	-0.61	0.000159	0.000594	TRUE	protein_coding
ENSG00000276180	H4C9	3.74	0.96	0.000159	0.000594	TRUE	protein_coding
ENSG00000227896	AL731569.1	0.75	-0.27	0.000159	0.000597	FALSE	lncRNA
ENSG00000198648	STK39	4.2	-0.59	0.000159	0.000597	TRUE	protein_coding
ENSG00000084092	NOA1	4.44	-0.46	0.00016	0.000598	FALSE	protein_coding
ENSG00000005187	ACSM3	2.29	-0.71	0.00016	0.000601	TRUE	protein_coding
ENSG00000223466	LINC01825	0.38	-0.33	0.000161	0.000601	FALSE	lncRNA
ENSG00000115761	NOL10	3.68	-0.47	0.000161	0.000602	FALSE	protein_coding
ENSG00000074590	NUAK1	0.75	-0.61	0.000161	0.000602	TRUE	protein_coding
ENSG00000179344	HLA-DQB1	5.28	-1.52	0.000161	0.000603	TRUE	protein_coding
ENSG00000112182	BACH2	5.01	-1	0.000162	0.000605	TRUE	protein_coding
ENSG00000272716	AL121658.1	0.4	0.23	0.000162	0.000605	FALSE	lncRNA
ENSG00000184786	TCTE3	0.87	-0.34	0.000162	0.000605	FALSE	protein_coding
ENSG00000259376	AC090907.1	0.61	0.42	0.000162	0.000606	FALSE	lncRNA
ENSG00000222346	RNA5SP237	0.32	0.35	0.000162	0.000606	FALSE	rRNA_pseudogene
ENSG00000086300	SNX10	6.55	0.66	0.000162	0.000606	TRUE	protein_coding
ENSG00000278318	ZNF229	0.6	-0.34	0.000162	0.000607	FALSE	protein_coding
ENSG00000118777	ABCG2	1.85	-1.03	0.000163	0.000607	TRUE	protein_coding
ENSG00000134072	CAMK1	3.51	-0.92	0.000163	0.000608	TRUE	protein_coding
ENSG00000137094	DNAJB5	1.48	-0.72	0.000163	0.000608	TRUE	protein_coding
ENSG00000162704	ARPC5	8.28	0.6	0.000163	0.000608	TRUE	protein_coding
ENSG00000124772	CPNE5	5.4	1	0.000163	0.000608	TRUE	protein_coding
ENSG00000058729	RIOK2	3.4	-0.58	0.000163	0.000609	FALSE	protein_coding
ENSG00000234936	AC010883.1	1.39	0.54	0.000163	0.000609	FALSE	lncRNA
ENSG00000165025	SYK	8.48	0.43	0.000163	0.000609	FALSE	protein_coding
ENSG00000124383	MPHOSPH10	3.72	-0.58	0.000163	0.000609	FALSE	protein_coding
ENSG00000286065	AC015911.11	1.66	-0.63	0.000163	0.000609	TRUE	lncRNA
ENSG00000160180	TFF3	0.93	0.86	0.000164	0.00061	TRUE	protein_coding
ENSG00000244575	IGKV1-27	1.67	1.45	0.000164	0.000611	TRUE	IG_V_gene
ENSG00000183914	DNAH2	0.77	0.66	0.000164	0.000611	TRUE	protein_coding
ENSG00000185222	TCEAL9	0.58	0.42	0.000164	0.000611	FALSE	protein_coding
ENSG00000006837	CDKL3	0.43	-0.22	0.000164	0.000612	FALSE	protein_coding
ENSG00000168421	RHOH	5.47	-0.68	0.000164	0.000612	TRUE	protein_coding
ENSG00000132475	H3-3B	9.59	0.64	0.000164	0.000612	TRUE	protein_coding
ENSG00000237352	LINC01358	0.8	0.54	0.000165	0.000613	FALSE	lncRNA
ENSG00000213654	GPSM3	8.32	0.51	0.000165	0.000614	FALSE	protein_coding
ENSG00000197013	ZNF429	4.72	1	0.000165	0.000614	TRUE	protein_coding
ENSG00000153006	SREK1IP1	3.98	-0.54	0.000165	0.000614	FALSE	protein_coding
ENSG00000108107	RPL28	8.24	-0.56	0.000165	0.000614	FALSE	protein_coding
ENSG00000055950	MRPL43	3.64	-0.4	0.000165	0.000615	FALSE	protein_coding
ENSG00000148660	CAMK2G	7.28	0.62	0.000165	0.000615	TRUE	protein_coding
ENSG00000186635	ARAP1	10.1	0.63	0.000166	0.000617	TRUE	protein_coding
ENSG00000119688	ABCD4	4.76	-0.34	0.000166	0.000617	FALSE	protein_coding
ENSG00000240527	AL365273.1	1.11	0.57	0.000166	0.000617	FALSE	lncRNA
ENSG00000136051	WASHC4	7.49	0.5	0.000166	0.000618	FALSE	protein_coding
ENSG00000184441	AP001062.1	2.09	-0.5	0.000166	0.000618	FALSE	lncRNA
ENSG00000106608	URGCP	3.78	-0.58	0.000166	0.000618	FALSE	protein_coding
ENSG00000133800	LYVE1	1.62	0.82	0.000166	0.000618	TRUE	protein_coding
ENSG00000280135	AL096816.1	2.54	-0.69	0.000167	0.000619	TRUE	TEC
ENSG00000163710	PCOLCE2	1.65	1.58	0.000167	0.00062	TRUE	protein_coding
ENSG00000197646	PDCD1LG2	1.44	1.26	0.000167	0.000621	TRUE	protein_coding
ENSG00000174928	C3orf33	0.39	-0.21	0.000167	0.000621	FALSE	protein_coding
ENSG00000229222	KRT18P4	1.79	0.58	0.000167	0.000621	FALSE	processed_pseudogene
ENSG00000130940	CASZ1	4.71	0.54	0.000167	0.000622	FALSE	protein_coding
ENSG00000163660	CCNL1	7.18	0.52	0.000168	0.000623	FALSE	protein_coding
ENSG00000089163	SIRT4	0.57	-0.27	0.000168	0.000624	FALSE	protein_coding
ENSG00000235072	ARNILA	0.77	-0.33	0.000168	0.000624	FALSE	lncRNA
ENSG00000167981	ZNF597	2.83	-0.42	0.000168	0.000624	FALSE	protein_coding
ENSG00000180370	PAK2	8.23	0.43	0.000168	0.000625	FALSE	protein_coding
ENSG00000106683	LIMK1	5.87	0.64	0.000168	0.000625	TRUE	protein_coding
ENSG00000171823	FBXL14	4.4	-0.47	0.000168	0.000625	FALSE	protein_coding
ENSG00000287769	AL353748.3	0.33	-0.2	0.000168	0.000625	FALSE	lncRNA
ENSG00000105767	CADM4	2.31	0.79	0.000169	0.000626	TRUE	protein_coding
ENSG00000123992	DNPEP	4.21	-0.6	0.000169	0.000627	TRUE	protein_coding
ENSG00000256590	TRDV3	0.11	-0.19	0.000169	0.000627	FALSE	TR_V_gene
ENSG00000153140	CETN3	1.62	-0.49	0.000169	0.000627	FALSE	protein_coding
ENSG00000113838	TBCCD1	2.85	-0.43	0.000169	0.000628	FALSE	protein_coding
ENSG00000240966	RN7SL681P	1.32	0.43	0.00017	0.000629	FALSE	misc_RNA
ENSG00000062598	ELMO2	6.68	0.68	0.00017	0.00063	TRUE	protein_coding
ENSG00000177225	GATD1	4.45	-0.46	0.00017	0.00063	FALSE	protein_coding
ENSG00000105409	ATP1A3	0.38	-0.25	0.00017	0.000631	FALSE	protein_coding
ENSG00000185664	PMEL	0.2	0.16	0.00017	0.000631	FALSE	protein_coding
ENSG00000230312	AC234782.1	0.17	-0.16	0.000171	0.000632	FALSE	processed_pseudogene
ENSG00000196557	CACNA1H	1.44	-0.72	0.000171	0.000632	TRUE	protein_coding
ENSG00000159618	ADGRG5	4.13	-0.98	0.000171	0.000632	TRUE	protein_coding
ENSG00000166816	LDHD	1.06	-0.67	0.000171	0.000633	TRUE	protein_coding
ENSG00000126464	PRR12	6.4	-0.41	0.000171	0.000634	FALSE	protein_coding
ENSG00000198690	FAN1	4.08	-0.65	0.000171	0.000634	TRUE	protein_coding
ENSG00000286458	AC083870.1	0.14	-0.14	0.000171	0.000634	FALSE	lncRNA
ENSG00000197930	ERO1A	6.8	0.52	0.000171	0.000634	FALSE	protein_coding
ENSG00000105520	PLPPR2	6.54	0.63	0.000172	0.000635	TRUE	protein_coding
ENSG00000178105	DDX10	3.38	-0.65	0.000172	0.000635	TRUE	protein_coding
ENSG00000245275	SAP30L-AS1	2.84	0.61	0.000172	0.000635	TRUE	lncRNA
ENSG00000174628	IQCK	0.32	-0.19	0.000172	0.000636	FALSE	protein_coding
ENSG00000260971	AC119674.1	0.17	0.19	0.000172	0.000637	FALSE	lncRNA
ENSG00000179088	C12orf42	1.43	-0.57	0.000172	0.000637	FALSE	protein_coding
ENSG00000183117	CSMD1	0.22	-0.48	0.000172	0.000637	FALSE	protein_coding
ENSG00000204569	PPP1R10	7.05	0.38	0.000173	0.000638	FALSE	protein_coding
ENSG00000212485	RNU6-1197P	0.43	0.39	0.000173	0.000639	FALSE	snRNA
ENSG00000104814	MAP4K1	5.22	-0.79	0.000173	0.00064	TRUE	protein_coding
ENSG00000211862	TRAJ27	0.86	-0.47	0.000173	0.00064	FALSE	TR_J_gene
ENSG00000116954	RRAGC	4.35	0.46	0.000174	0.000641	FALSE	protein_coding
ENSG00000266320	MIR3909	1.34	0.61	0.000174	0.000642	TRUE	miRNA
ENSG00000145476	CYP4V2	3.97	-0.63	0.000174	0.000642	TRUE	protein_coding
ENSG00000235706	DICER1-AS1	2.08	0.6	0.000174	0.000642	TRUE	lncRNA
ENSG00000265728	AP001099.1	0.67	0.45	0.000175	0.000647	FALSE	lncRNA
ENSG00000140465	CYP1A1	0.27	0.32	0.000176	0.000648	FALSE	protein_coding
ENSG00000248366	TRAJ51	0.33	-0.25	0.000176	0.000648	FALSE	TR_J_pseudogene
ENSG00000198931	APRT	4.75	-0.64	0.000176	0.000648	TRUE	protein_coding
ENSG00000127989	MTERF1	3.15	-0.47	0.000176	0.000649	FALSE	protein_coding
ENSG00000158301	GPRASP2	0.86	-0.33	0.000176	0.00065	FALSE	protein_coding
ENSG00000257594	GALNT4	2.38	0.47	0.000176	0.000651	FALSE	protein_coding
ENSG00000142733	MAP3K6	3.74	0.64	0.000177	0.000651	TRUE	protein_coding
ENSG00000222011	FAM185A	1.8	-0.43	0.000177	0.000653	FALSE	protein_coding
ENSG00000281852	LINC00891	0.32	-0.24	0.000177	0.000654	FALSE	lncRNA
ENSG00000177692	DNAJC28	0.34	-0.19	0.000178	0.000655	FALSE	protein_coding
ENSG00000198237	AC131392.1	0.36	-0.25	0.000178	0.000656	FALSE	unprocessed_pseudogene
ENSG00000129187	DCTD	4.26	-0.53	0.000178	0.000656	FALSE	protein_coding
ENSG00000135835	KIAA1614	0.53	0.3	0.000179	0.000658	FALSE	protein_coding
ENSG00000145734	BDP1	5.87	-0.33	0.000179	0.000658	FALSE	protein_coding
ENSG00000164611	PTTG1	2.27	0.91	0.000179	0.000658	TRUE	protein_coding
ENSG00000010030	ETV7	3.29	2.14	0.000179	0.000658	TRUE	protein_coding
ENSG00000104897	SF3A2	5.49	-0.36	0.000179	0.000659	FALSE	protein_coding
ENSG00000100099	HPS4	4.61	-0.34	0.000179	0.000659	FALSE	protein_coding
ENSG00000203811	H3C14	0.16	0.19	0.00018	0.000661	FALSE	protein_coding
ENSG00000170903	MSANTD4	3.36	-0.52	0.00018	0.000661	FALSE	protein_coding
ENSG00000211860	TRAJ29	0.77	-0.43	0.00018	0.000661	FALSE	TR_J_gene
ENSG00000268883	PNMA6B	0.08	-0.17	0.00018	0.000661	FALSE	unprocessed_pseudogene
ENSG00000135362	PRR5L	4.94	-0.96	0.00018	0.000661	TRUE	protein_coding
ENSG00000178385	PLEKHM3	5.84	0.56	0.00018	0.000661	FALSE	protein_coding
ENSG00000083097	DOP1A	5	-0.49	0.00018	0.000662	FALSE	protein_coding
ENSG00000230081	HSPE1P28	0.9	0.43	0.000181	0.000663	FALSE	processed_pseudogene
ENSG00000186184	POLR1D	5.79	-0.71	0.000181	0.000665	TRUE	protein_coding
ENSG00000168827	GFM1	4.45	-0.55	0.000181	0.000666	FALSE	protein_coding
ENSG00000260228	AC009119.1	1.52	-0.59	0.000182	0.000667	TRUE	lncRNA
ENSG00000105204	DYRK1B	4.5	-0.49	0.000182	0.000667	FALSE	protein_coding
ENSG00000143418	CERS2	7.05	0.36	0.000182	0.000668	FALSE	protein_coding
ENSG00000090612	ZNF268	3.52	-0.5	0.000182	0.000668	FALSE	protein_coding
ENSG00000101109	STK4	9.15	0.32	0.000183	0.00067	FALSE	protein_coding
ENSG00000120656	TAF12	4.39	0.36	0.000183	0.00067	FALSE	protein_coding
ENSG00000104835	SARS2	1.56	-0.45	0.000183	0.00067	FALSE	protein_coding
ENSG00000184106	TREML3P	2.96	1.08	0.000183	0.000671	TRUE	transcribed_unprocessed_pseudogene
ENSG00000162384	CZIB	3.72	-0.31	0.000183	0.000671	FALSE	protein_coding
ENSG00000245719	AC009292.1	0.27	0.42	0.000183	0.000671	FALSE	lncRNA
ENSG00000274092	AC106739.1	0.79	0.58	0.000183	0.000672	FALSE	lncRNA
ENSG00000270281	AC020910.3	0.1	-0.14	0.000183	0.000673	FALSE	processed_pseudogene
ENSG00000279333	AC096636.1	0.27	-0.22	0.000184	0.000673	FALSE	TEC
ENSG00000158234	FAIM	0.95	-0.34	0.000184	0.000673	FALSE	protein_coding
ENSG00000134597	RBMX2	2.74	-0.4	0.000184	0.000673	FALSE	protein_coding
ENSG00000260895	AP003071.1	0.69	0.45	0.000184	0.000674	FALSE	lncRNA
ENSG00000064999	ANKS1A	6.27	0.71	0.000184	0.000675	TRUE	protein_coding
ENSG00000148399	DPH7	3.68	-0.42	0.000184	0.000675	FALSE	protein_coding
ENSG00000233621	LINC01137	2.25	0.53	0.000184	0.000675	FALSE	lncRNA
ENSG00000211799	TRAV19	1.06	-0.71	0.000184	0.000675	TRUE	TR_V_gene
ENSG00000233040	FAM204BP	0.94	0.44	0.000185	0.000675	FALSE	processed_pseudogene
ENSG00000213782	DDX47	1.26	-0.39	0.000185	0.000677	FALSE	protein_coding
ENSG00000163359	COL6A3	3.55	1.5	0.000185	0.000679	TRUE	protein_coding
ENSG00000233916	ZDHHC20P1	0.15	-0.19	0.000186	0.000679	FALSE	processed_pseudogene
ENSG00000172940	SLC22A13	1.43	0.86	0.000186	0.000679	TRUE	protein_coding
ENSG00000122515	ZMIZ2	6.42	-0.28	0.000186	0.000679	FALSE	protein_coding
ENSG00000274859	AC131238.1	0.22	0.22	0.000186	0.00068	FALSE	lncRNA
ENSG00000177169	ULK1	7.8	0.73	0.000186	0.000681	TRUE	protein_coding
ENSG00000155858	LSM11	2.34	-0.52	0.000186	0.000681	FALSE	protein_coding
ENSG00000140391	TSPAN3	3.63	-0.67	0.000186	0.000682	TRUE	protein_coding
ENSG00000267241	CYP4F10P	1.39	0.94	0.000187	0.000682	TRUE	unprocessed_pseudogene
ENSG00000151715	TMEM45B	3.05	1.05	0.000187	0.000682	TRUE	protein_coding
ENSG00000164849	GPR146	4.51	-1.63	0.000187	0.000684	TRUE	protein_coding
ENSG00000180061	TMEM150B	3.64	0.86	0.000187	0.000684	TRUE	protein_coding
ENSG00000250571	GLI4	3.86	-0.48	0.000188	0.000685	FALSE	protein_coding
ENSG00000022976	ZNF839	4.3	0.44	0.000188	0.000685	FALSE	protein_coding
ENSG00000286288	AL109809.4	4.28	0.99	0.000188	0.000687	TRUE	lncRNA
ENSG00000257303	AC073896.2	0.6	-0.24	0.000188	0.000688	FALSE	lncRNA
ENSG00000213999	MEF2B	1.82	0.61	0.000189	0.000689	TRUE	protein_coding
ENSG00000238241	CCR12P	2.14	-1.07	0.000189	0.000691	TRUE	transcribed_unprocessed_pseudogene
ENSG00000141564	RPTOR	5.47	-0.56	0.000189	0.000691	FALSE	protein_coding
ENSG00000119333	WDR34	2.58	0.8	0.000189	0.000691	TRUE	protein_coding
ENSG00000229622	MTND5P2	1.13	0.5	0.00019	0.000692	FALSE	processed_pseudogene
ENSG00000170852	KBTBD2	6.27	0.46	0.00019	0.000694	FALSE	protein_coding
ENSG00000286715	AL589863.2	1.56	0.68	0.00019	0.000694	TRUE	lncRNA
ENSG00000068079	IFI35	5.7	1.24	0.00019	0.000694	TRUE	protein_coding
ENSG00000165832	TRUB1	2.61	-0.62	0.00019	0.000694	TRUE	protein_coding
ENSG00000263884	AP000845.1	0.57	-0.25	0.000191	0.000696	FALSE	lncRNA
ENSG00000174611	KY	1.35	0.67	0.000191	0.000698	TRUE	protein_coding
ENSG00000105976	MET	0.58	0.71	0.000192	0.000699	TRUE	protein_coding
ENSG00000189283	FHIT	2.82	-0.93	0.000192	7e-04	TRUE	protein_coding
ENSG00000249140	PRDX2P3	1.22	0.42	0.000192	7e-04	FALSE	processed_pseudogene
ENSG00000100605	ITPK1	7.63	0.64	0.000192	7e-04	TRUE	protein_coding
ENSG00000153898	MCOLN2	2.28	-0.72	0.000192	7e-04	TRUE	protein_coding
ENSG00000175643	RMI2	2	1.43	0.000192	0.000701	TRUE	protein_coding
ENSG00000017260	ATP2C1	5.73	0.37	0.000193	0.000702	FALSE	protein_coding
ENSG00000088826	SMOX	5.88	1.08	0.000193	0.000703	TRUE	protein_coding
ENSG00000096060	FKBP5	8.4	1.13	0.000193	0.000703	TRUE	protein_coding
ENSG00000184261	KCNK12	0.28	-0.2	0.000194	0.000704	FALSE	protein_coding
ENSG00000251393	AC005280.1	0.47	0.33	0.000194	0.000706	FALSE	lncRNA
ENSG00000286909	AC024560.4	0.76	-0.33	0.000194	0.000706	FALSE	lncRNA
ENSG00000257365	FNTB	3.1	0.46	0.000194	0.000707	FALSE	protein_coding
ENSG00000166681	BEX3	3.7	1.04	0.000195	0.000707	TRUE	protein_coding
ENSG00000250995	AL391280.2	2.03	0.74	0.000195	0.000708	TRUE	processed_pseudogene
ENSG00000178896	EXOSC4	3.72	0.91	0.000195	0.000708	TRUE	protein_coding
ENSG00000176720	BOK	0.8	-0.68	0.000195	0.000709	TRUE	protein_coding
ENSG00000250764	AC025178.2	1.51	0.57	0.000195	0.00071	FALSE	lncRNA
ENSG00000260757	AC093520.1	0.87	0.65	0.000195	0.00071	TRUE	lncRNA
ENSG00000198246	SLC29A3	2.64	-0.54	0.000195	0.00071	FALSE	protein_coding
ENSG00000088812	ATRN	4.91	-0.48	0.000195	0.00071	FALSE	protein_coding
ENSG00000165526	RPUSD4	3.43	-0.52	0.000196	0.000711	FALSE	protein_coding
ENSG00000158769	F11R	6.15	0.52	0.000196	0.000711	FALSE	protein_coding
ENSG00000036565	SLC18A1	0.17	-0.23	0.000196	0.000712	FALSE	protein_coding
